rule,expression,fixed,extpos
CASE,i tid,No,"case(NN, P)"
CASE,i undantagsfall,No,"case(NN, P)"
CASE,i väg,No,"case(NN, P)"
CASE,med fog,No,"case(NN, P)"
CASE,över huvud,No,"case(NN, P)"
CASE,på allvar,No,"case(NN, P)"
CASE,på efterkälken,No,"case(NN, P)"
CASE,på förhand,No,"case(NN, P)"
CASE,på frågan,No,"case(NN, P)"
CASE,på gång,No,"case(NN, P)"
CASE,på känn,No,"case(NN, P)"
CASE,på rygg,No,"case(NN, P)"
CASE,på sikt,No,"case(NN, P)"
CASE,på spel,No,"case(NN, P)"
CASE,på tal,No,"case(NN, P)"
CASE,på tok,No,"case(NN, P)"
CASE,på väg,No,"case(NN, P)"
CASE,på vippen,No,"case(NN, P)"
CASE,till buds,No,"case(NN, P)"
CASE,till exempel,No,"case(NN, P)"
CASE,till fots,No,"case(NN, P)"
CASE,till fullo,No,"case(NN, P)"
CASE,till godo,No,"case(NN, P)"
CASE,till hands,No,"case(NN, P)"
CASE,till havs,No,"case(NN, P)"
CASE,till höger,No,"case(NN, P)"
CASE,till låns,No,"case(NN, P)"
CASE,till ro,No,"case(NN, P)"
CASE,till sängs,No,"case(NN, P)"
CASE,till slut,No,"case(NN, P)"
CASE,till stånd,No,"case(NN, P)"
CASE,till tjänst,No,"case(NN, P)"
CASE,till uttryck,No,"case(NN, P)"
CASE,till vänster,No,"case(NN, P)"
CASE,to date,No,"case(NN, P)"
CASE,ur spel,No,"case(NN, P)"
CASE,under debatt,No,"case(NN, P)"
CASE,utan tvekan,No,"case(NN, P)"
CASE,utanför hemmet,No,"case(NN, P)"
CASE,vid handen,No,"case(NN, P)"
CASE,i år,No,"case(NN, P)"
CASE,i dag,No,"case(NN, P)"
CASE,i förtid,No,"case(NN, P)"
CASE,i förväg,No,"case(NN, P)"
CASE,i höst,No,"case(NN, P)"
CASE,i kväll,No,"case(NN, P)"
CASE,i morgon,No,"case(NN, P)"
CASE,i morse,No,"case(NN, P)"
CASE,i natt,No,"case(NN, P)"
CASE,i somras,No,"case(NN, P)"
CASE,i söndags,No,"case(NN, P)"
CASE,i tisdags,No,"case(NN, P)"
CASE,i vår,No,"case(NN, P)"
CASE,i våras,No,"case(NN, P)"
CASE,i vintras,No,"case(NN, P)"
CASE,till synes,No,"case(NN, P)"
CASE,för övrigt,No,"case(NN/JJ, P)"
CASE,i övrigt,No,"case(NN/JJ, P)"
CASE,i stort,No,"case(NNJ, P)"
CASE,på nytt,No,"case(NNJ, P)"
CASE,för detta,No,"case(PR, P)"
CASE,framför allt,No,"case(PR, P)"
CASE,över allt,No,"case(PR, P)"
CASE,till dess,No,"case(PR, P)"
CASE,trots allt,No,"case(PR, P)"
CASE,per capita,No,"case(X, P)"
CASE_DET,å den andra,No,"case(JJ, P), det(JJ, DET)"
CASE_DET,för det andra,No,"case(JJ, P), det(JJ, DET)"
CASE_DET,för det första,No,"case(JJ, P), det(JJ, DET)"
CASE_DET,på det klara,No,"case(JJ, P), det(JJ, DET)"
CASE_DET,för all del,No,"case(NN, P), det(NN, DET)"
CASE_DET,för det mesta,No,"case(NN, P), det(NN, DET)"
CASE_DET,i all världen,No,"case(NN, P), det(NN, DET)"
CASE_DET,i alla fall,No,"case(NN, P), det(NN, DET)"
CASE_DET,i alla händelser,No,"case(NN, P), det(NN, DET)"
CASE_DET,i någon mån,No,"case(NN, P), det(NN, DET)"
CASE_DET,i vad mån,No,"case(NN, P), det(NN, DET)"
CASE_DET,i varje fall,No,"case(NN, P), det(NN, DET)"
CASE_DET,under alla förhållanden,No,"case(NN, P), det(NN, DET)"
CASE_DET,vid det laget,No,"case(NN, P), det(NN, DET)"
CC,upp och nedvänt,No,"conj(ADV, VB), cc(VB, CC)"
CC,bak och fram,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC,då och då,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC,förr eller senare,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC,fram och tillbaka,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC,här och var,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC,hit och dit,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC,mer eller mindre,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC,mer och mer,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC,mindre och mindre,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC,sist och slutligen,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC,en eller annan,No,"conj(DET, JJ), cc(JJ, CC)"
CC,en och annan,No,"conj(DET, JJ), cc(JJ, CC)"
CC,en och samma,No,"conj(DET, JJ), cc(JJ, CC)"
CC,ett eller annat,No,"conj(DET, JJ), cc(JJ, CC)"
CC,dag och natt,No,"conj(NN1, NN2), cc(NN2, CC)"
CC,från och med,No,"conj(P1, P2), cc(P2, CC)"
CC,var och en,No,"conj(PR1, PR2), cc(PR2, CC)"
CC,vart och ett,No,"conj(PR1, PR2), cc(PR2, CC)"
CC_X,en och,No,"conj(DET, X), cc(X, CC)"
CC_X_X,om och om igen,No,"conj(ADV1, ADV2), cc(ADV2, CC)"
CC_DET,en och en halv,No,"conj(NN1, NN2), cc(NN2, CC), det(NN2, DET)"
CC_SÅ_ADV,och så vidare,No,"conj(X, ADV2), cc(ADV2, CC), advmod(ADV2, ADV1)"
CCONJ_NN,som regel,No,"case(NN, P), obl(X, NN)"
DET_HÄR,de där,No,"advmod(PRON, ADV) om PRON är huvud, advmod(Y, ADV), det(Y, DET) med annat huvud"
DET_HÄR,de här,No,"advmod(PRON, ADV) om PRON är huvud, advmod(Y, ADV), det(Y, DET) med annat huvud"
DET_HÄR,den där,No,"advmod(PRON, ADV) om PRON är huvud, advmod(Y, ADV), det(Y, DET) med annat huvud"
DET_HÄR,den här,No,"advmod(PRON, ADV) om PRON är huvud, advmod(Y, ADV), det(Y, DET) med annat huvud"
DET_HÄR,det där,No,"advmod(PRON, ADV) om PRON är huvud, advmod(Y, ADV), det(Y, DET) med annat huvud"
DET_HÄR,det här,No,"advmod(PRON, ADV) om PRON är huvud, advmod(Y, ADV), det(Y, DET) med annat huvud"
DET_HÄR,dom där,No,"advmod(PRON, ADV) om PRON är huvud, advmod(Y, ADV), det(Y, DET) med annat huvud"
DET_JJ,de flesta,No,"det(JJ, DET) eller amod(X, JJ), det(X, det) beroende på kontext"
DET_JJ,den andra,No,"det(JJ, DET) eller amod(X, JJ), det(X, det) beroende på kontext"
DET_JJ,det samma,No,"det(JJ, DET) eller amod(X, JJ), det(X, det) beroende på kontext"
DET_JJ,en halv,No,"det(JJ, DET) eller amod(X, JJ), det(X, det) beroende på kontext"
DET_JJ,en viss,No,"det(JJ, DET) eller amod(X, JJ), det(X, det) beroende på kontext"
DET_JJ,ett annat,No,"det(JJ, DET) eller amod(X, JJ), det(X, det) beroende på kontext"
DET_JJ,ett halvt,No,"det(JJ, DET) eller amod(X, JJ), det(X, det) beroende på kontext"
DET_NN,en del,No,"det(NN, DET)"
DET_NN,en grupp,No,"det(NN, DET)"
DET_NN,en känsla,No,"det(NN, DET)"
DET_NN,en massa,No,"det(NN, DET)"
DET_NN,ett dugg,No,"det(NN, DET)"
DET_NN,ett tag,No,"det(NN, DET)"
DET_NN,varje grupp,No,"det(NN, DET)"
DET_JJ_NN,en hel del,No,"det(NN, DET)"
DET_PS,all dess,No,"det(X, all), nmod:poss(X, dess)"
EXTPOS_ADJ,före detta,Yes,ADJ
EXTPOS_ADP,tack vare,Yes,ADP
EXTPOS_ADP,i och med,Yes,ADP
EXTPOS_ADP,för sedan,Yes,ADP
EXTPOS_ADP,för sen,Yes,ADP
EXTPOS_ADP,för skull,Yes,ADP
EXTPOS_ADV,sent omsider,Yes,ADV
EXTPOS_ADV,icke desto mindre,Yes,ADV
EXTPOS_ADV,stick i stäv,Yes,ADV
EXTPOS_ADV,a priori,Yes,ADV
EXTPOS_ADV,poste restante,Yes,ADV
EXTPOS_ADV,vice versa,Yes,ADV
EXTPOS_ADV,till och med,Yes,ADV
EXTPOS_ADV,i och för sej,Yes,ADV
EXTPOS_ADV,i och för sig,Yes,ADV
EXTPOS_ADV,med ens,Yes,ADV
EXTPOS_ADV,det vill säga,Yes,ADV
EXTPOS_ADV,så när,Yes,ADV
EXTPOS_ADV,så att säga,Yes,ADV
EXTPOS_ADV,så fan heller,Yes,ADV
EXTPOS_ADV,så småningom,Yes,ADV
EXTPOS_ADV,låt vara,Yes,ADV
EXTPOS_ADV,vill säja,Yes,ADV
EXTPOS_ADV,rent av,Yes,ADV
EXTPOS_CCONJ,vare sig,Yes,CCONJ
EXTPOS_INTJ,eller hur,Yes,INTJ
EXTPOS_SCONJ,därför att,Yes,SCONJ
I_NN_P,istället för,No,"advmod(X, ADV), nmod(ADV, Y), case(Y, P)"
I_NN_P,ifråga om,No,"advmod(X, ADV), nmod(ADV, Y), case(Y, P)"
IJ_IJ,ha ha,No,"discourse(X, IJ1), flat(IJ1, IJ2), "
IJ_IJ,ho ho,No,"discourse(X, IJ1), flat(IJ1, IJ2), "
IJ_IJ,ja tack,No,"discourse(X, IJ1), flat(IJ1, IJ2), "
IJ_SÅ_ADV,tack så mycket,No,"discourse(X, IJ), advmod(IJ, ADV2), advmod(ADV2, ADV1)"
IJ_X,jo visst,No,"discourse(X, IJ), advmod(X, ADV)"
INTE1,inte alls,No,"advmod(X, ADV1), advmod(X, ADV2)"
INTE1,inte längre,No,"advmod(X, ADV1), advmod(X, ADV2)"
INTE2,inte minst,No,"advmod(X, ADV2), advmod(ADV2, ADV1)"
JJ_CC_ADV_JJ,sist men inte minst,No,"advmod(X,ADV1), conj(ADV1, ADV3), cc(ADV3, CC), advmod(ADV3, ADV2)"
JJ_CC_JJ,helt och hållet,No,"advmod(X,ADV), conj(ADV, X), cc(X, CC)"
JJ_CC_JJ,först och främst,No,"advmod(X,ADV), conj(ADV, X), cc(X, CC)"
JJ_HÄR,sådan här,No,"advmod(JJ, ADV) "
JJ_HÄR,sådana här,No,"advmod(JJ, ADV) "
JJ_HÄR,sån här,No,"advmod(JJ, ADV) "
JJ_NN,högre grad,No,"amod(NN, JJ)"
JJ_P,beroende på,No,"obl(JJ, X), case(X, P) eller advcl(JJ, X), mark(X, P)"
JJ_P,lika med,No,"obl(JJ, X), case(X, P) eller advcl(JJ, X), mark(X, P)"
JJ_P,oberoende av,No,"obl(JJ, X), case(X, P) eller advcl(JJ, X), mark(X, P)"
NN_P_NN,ansikte mot ansikte,No,"nmod(NN1, NN2), case(NN2, P)"
NN_P_NN,år från år,No,"nmod(NN1, NN2), case(NN2, P)"
NN_P_NN,gång på gång,No,"nmod(NN1, NN2), case(NN2, P)"
NN_P_NN,hals över huvud,No,"nmod(NN1, NN2), case(NN2, P)"
NN_P_NN,hand i hand,No,"nmod(NN1, NN2), case(NN2, P)"
NN_P_NN,steg för steg,No,"nmod(NN1, NN2), case(NN2, P)"
P_ADV_NN,i så fall,No,"amod(ADJ, NN), case(NN, P) OBS: ändra ADV till ADJ för ""så"""
P_ADV_NN,i så måtto,No,"amod(ADJ, NN), case(NN, P) OBS: ändra ADV till ADJ för ""så"""
P_ADV_NN,på så sätt,No,"amod(ADJ, NN), case(NN, P) OBS: ändra ADV till ADJ för ""så"""
P_ADV_TAG,runt om,No,"runt=ADV, advmod(runt, om)"
P_ADV_VB,i stort sett,No,"obl(VB, ADJ), case(ADJ, P) OBS: ändra ADV till ADJ för stort"
P_DET_ADV,på ett ungefär,No,"case(ADV, P), det(ADV, DET)"
P_DET_NN_som,i den mån som,No,"case(NN, P), det(NN, DET), acl(NN, X), mark(X, SC)"
P_JJ_NN,å andra sidan,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,å ena sidan,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i andra hand,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i bästa fall,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i första hand,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i hög grad,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i många år,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i många fall,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i runda tal,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i runt tal,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i sämsta fall,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i själva verket,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,i viss mån,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,med andra ord,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,på egen hand,No,"case(NN, P), amod(NN, JJ)"
P_JJ_NN,på längre sikt,No,"case(NN, P), amod(NN, JJ)"
P_NN_att,efter det att,No,"case(det, efter), acl(det, Y), mark(Y, att)"
P_NN_att,under det att,No,"case(det, under), acl(det, Y), mark(Y, att)"
P_NN_att,under förutsättning att,No,"case(förutsättning, under), acl(förutsättning, Y), mark(Y, att)"
P_NN_CC_NN,i mångt och mycket,No,"case(JJ1, P), conj(JJ1, JJ2), cc(JJ2, CC)"
P_NN_CC_NN,till höger och vänster,No,"case(JJ1, P), conj(JJ1, JJ2), cc(JJ2, CC)"
P_NN_CC_NN,i valet och kvalet,No,"case(NN1, P), conj(NN1, NN2), cc(NN2, CC)"
P_NN_CC_NN,på sätt och vis,No,"case(NN1, P), conj(NN1, NN2), cc(NN2, CC)"
P_NN_P,i anslutning till,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i enlighet med,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i förbindelse med,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i förening med,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i förhållande till,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i form av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i fråga om,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i jämförelse med,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i likhet med,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i linje med,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i mån av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i motsats till,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i närheten av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i proportion till,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i riktning mot,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i samarbete med,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i samband med,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i skydd av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i stället för,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i takt med,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,i underkant av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,inom ramen för,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,med avseende på,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,med hänsyn till,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,med hänvisning till,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,med hjälp av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,med ledning av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,med sikte på,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,med tanke på,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,med undantag för,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,med utgångspunkt av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,med utgångspunkt i,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,på basis av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,på grund av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,på grundval av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,på tal om,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,till följd av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,till förmån för,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,till höger om,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,till skillnad från,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,till skillnad mot,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,till vänster om,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,under loppet av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,utan avseende på,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,utan hänsyn till,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,utan tanke på,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,vid sidan av,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P,vid sidan om,No,"case(NN, P1), nmod(NN, X), case(X, P2)"
P_NN_P_NN,ur famn i famn,No,"case(NN1, P1), case(NN2, P2), conj(NN1, NN2)"
P_NN_som,efter hand som,No,"case(NN, P), acl(NN, X), mark(X, CC)"
P_NN_TAG,på sistone,No,"case(NN, P) NB: sistone = NN"
P_NN_VB,över huvud taget,No,"case(NN, P), acl(NN,X), advcl(X, VB)"
P_PR_att_VB,av allt att döma,No,"case(PR, P), acl(PR, VB), mark(VB, att)"
P_PS_NN,å sin sida,No,"case(NN, P), nmod:poss(NN, PS)"
P_PS_NN,i sin tur,No,"case(NN, P), nmod:poss(NN, PS)"
P_PS_NN,på sin höjd,No,"case(NN, P), nmod:poss(NN, PS)"
P_PS_NN,på sina håll,No,"case(NN, P), nmod:poss(NN, PS)"
P_TID_TAG,i fjol,No,"case(NN, P) OBS: X -> NN"
P_TID_TAG,i går,No,"case(NN, P) OBS: X -> NN"
P_TID_TID,i morgon dag,No,"case(NN1, P), nmod(NN1, NN2)"
P_TID_TID_TAG,i går kväll,No,"case(NN1, P), nmod(NN1, NN2) OBS: X -> NN"
P_TID_TID_TAG,i morgon bitti,No,"case(NN1, P), nmod(NN1, NN2) OBS: X -> NN"
PART_att,förutsatt att,No,"ccomp(förutsatt, Y), mark(Y, att)"
PR_ADV_VB,vad mera är,No,"parataxis(X, ADV), nsubj(ADV, PR), cop(ADV, VB)"
PR_än,annat än,No,"nmod/acl(NNJ, X), case/mark(X, än)"
PR_P_NN1,detta till trots,No,"obl(X,detta),nmod(detta, trots),case(trots, till)??"
PR_P_NN2,en i taget,No,"nmod(en, taget), case(taget, i)"
PR_P_NN3,vad för slags,No,"nmod(vad, X), case(X, för), nmod:poss(X, slags)"
PR_P_PR1,vad för något,No,"nmod(vad, något), case(X, något)"
PR_P_PR2,var för sig,No,"obl(X, var), nmod(var, sig), case(sig, för)"
PR_P2,något av,No,"nmod(något, X), case(X, av)"
PR_P2,vad för,No,"nmod(vad, X), case(X, för)"
PR_PR_än,inget annat än,No,"nmod/acl(JJ, X), det(JJ, DET), case/mark(X, än)"
PR_som,något som,No,"acl:relcl(något, X), nsubj/obj/…(X, som)"
PR_som,vad som,No,"acl:relcl(vad, X), nsubj/obj/…(X, som)"
PS_NN,dess utveckling,No,"nmod:poss(utveckling, dess)"
SÅ_ADV_1,så värst,No,"advmod(ADV, så)"
SÅ_ADV_1,så många,No,"advmod(ADV, så)"
SÅ_ADV_2,så fort,No,"advmod(ADV, så), advcl(ADV, X)"
SÅ_ADV_2,så länge,No,"advmod(ADV, så), advcl(ADV, X)"
SÅ_ADV_2,så långt,No,"advmod(ADV, så), advcl(ADV, X)"
SÅ_ADV_2,så snart,No,"advmod(ADV, så), advcl(ADV, X)"
SÅ_ADV_NN,så här års,No,"advmod(NN, så), advmod(så, här)"
SÅ_DÄR,så där,No,"advmod(så, ADV), advmod(X, så)"
SÅ_DÄR,så här,No,"advmod(så, ADV), advmod(X, så)"
SÅ_SOM_1,så gott som,No,"advmod(ADV, så), obl/advcl(ADV, X), case/mark(X, som)"
SÅ_SOM_1,så mycket som,No,"advmod(ADV, så), obl/advcl(ADV, X), case/mark(X, som)"
SÅ_SOM_2,så som,No,"advcl(så, X), mark(X, som)"
SÅ_VB,så kallad,No,"advmod(ADJ, så), amod(X, ADJ)"
SÅ_VB,så kallade,No,"advmod(ADJ, så), amod(X, ADJ)"
SÅ_X2,så pass,No,"advmod(så, pass)"
SC_ADV,tills vidare,No,"advcl(X, ADV), mark(ADV, SC)"
SC_ADV,som bekant,No,"advcl(X, ADV), mark(ADV, SC)"
SC_ADV,om än,No,"mark(X, om), advmod(X, än)"
SC_PR_VB,när det gällde,No,"advcl(gällde, X), nsubj(gällde, det), mark(gällde, när)"
SC_PR_VB,då det gäller,No,"advcl(gäller, X), nsubj(gäller, det), mark(gäller, då)"
SC_PR_VB,när det gäller,No,"advcl(gäller, X), nsubj(gäller, det), mark(gäller, då)"
SC_PR_VB,när det gällt,No,"advcl(gällt, X), nsubj(gällt, det), mark(gällt, när)"
som_ADV,som vanligt,No,"advmod(X, ADV), mark(ADV, SC)"
som_helst,hur som helst,No,"fixed(som, helst), advmod(X, som)"
som_helst,några som helst,No,"fixed(som, helst), advmod(X, som)"
som_helst,när som helst,No,"fixed(som, helst), advmod(X, som)"
som_helst,vad som helst,No,"fixed(som, helst), advmod(X, som)"
som_helst,var som helst,No,"fixed(som, helst), advmod(X, som)"
som_helst,vart som helst,No,"fixed(som, helst), advmod(X, som)"
som_helst,vem som helst,No,"fixed(som, helst), advmod(X, som)"
som_helst,vilka som helst,No,"fixed(som, helst), advmod(X, som)"
som_helst,vilket som helst,No,"fixed(som, helst), advmod(X, som)"
som_SC,som om,No,"mark(X, som), mark(X, om)"
